target,experiment,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_high,recall_high,recall_low,n_samples,n_groups
valence_binary,smote_all_features,Random Forest,0.6986754966887417,0.6569137638062872,0.6496207050423918,0.704318968294074,0.8059701492537313,0.7570093457943925,0.5568181818181818,302,96
valence_binary,smote_all_features,Linear SVM,0.6788079470198676,0.6730033984706882,0.6482595487674555,0.6915078429225556,0.8305084745762712,0.6869158878504673,0.6590909090909091,302,96
valence_binary,random_oversampling_top30_features,Extra Trees,0.7384105960264901,0.6381159728122345,0.6480861420458736,0.7224709865004989,0.7800829875518672,0.8785046728971962,0.3977272727272727,302,96
valence_binary,smote_top30_features,RBF SVM,0.6986754966887417,0.6535683942225998,0.6475717821464754,0.7035636780797412,0.8029556650246306,0.7616822429906542,0.5454545454545454,302,96
valence_binary,smote_all_features,Gradient Boosting,0.6887417218543046,0.6599405267629567,0.6468627158282331,0.6976007423598197,0.8125,0.7289719626168224,0.5909090909090909,302,96
valence_binary,no_sampling_all_features,Logistic Regression,0.6821192052980133,0.665303738317757,0.6463872761867591,0.6932854331452801,0.8206521739130435,0.705607476635514,0.625,302,96
valence_binary,no_sampling_all_features,Linear SVM,0.6754966887417219,0.6706669498725573,0.6453870117421519,0.6884985947188089,0.8295454545454546,0.6822429906542056,0.6590909090909091,302,96
valence_binary,no_sampling_top30_features,KNN,0.7417218543046358,0.6337616822429907,0.6443840579710145,0.7220078702370669,0.7764227642276422,0.8925233644859814,0.375,302,96
valence_binary,random_oversampling_all_features,RBF SVM,0.6920529801324503,0.6488954970263381,0.6419200611971696,0.6978204840807569,0.8009950248756219,0.7523364485981309,0.5454545454545454,302,96
valence_binary,smote_top30_features,Gradient Boosting,0.6920529801324503,0.6488954970263381,0.6419200611971696,0.6978204840807569,0.8009950248756219,0.7523364485981309,0.5454545454545454,302,96
valence_binary,smote_all_features,XGBoost,0.6887417218543046,0.6499044180118947,0.6411306634304207,0.6956669667159604,0.803030303030303,0.7429906542056075,0.5568181818181818,302,96
valence_binary,random_oversampling_top30_features,Random Forest,0.7086092715231788,0.637160152931181,0.6397939821089726,0.705481303822533,0.7863636363636364,0.8084112149532711,0.4659090909090909,302,96
valence_binary,smote_all_features,RBF SVM,0.695364238410596,0.641195836873407,0.6382480079162544,0.6982200499353131,0.7932692307692307,0.7710280373831776,0.5113636363636364,302,96
valence_binary,no_sampling_top30_features,Random Forest,0.7251655629139073,0.6287701784197111,0.6367404315754387,0.7115160459958886,0.7763713080168776,0.8598130841121495,0.3977272727272727,302,96
valence_binary,random_oversampling_all_features,Logistic Regression,0.6655629139072847,0.6469307561597282,0.628834617116295,0.6775479370706603,0.8087431693989071,0.6915887850467289,0.6022727272727273,302,96
valence_binary,no_sampling_top30_features,XGBoost,0.7350993377483444,0.619052676295667,0.6280788177339901,0.7113169999673767,0.768,0.897196261682243,0.3409090909090909,302,96
valence_binary,smote_all_features,Logistic Regression,0.6622516556291391,0.6479396771452846,0.6277012327773749,0.6750202901613128,0.8111111111111111,0.6822429906542056,0.6136363636363636,302,96
valence_binary,no_sampling_top30_features,Hist Gradient Boosting,0.7251655629139073,0.6187340696686492,0.6268774468211792,0.706776173451397,0.7695473251028807,0.8738317757009346,0.36363636363636365,302,96
valence_binary,random_oversampling_all_features,Gradient Boosting,0.6788079470198676,0.6295135938827527,0.6243347567934957,0.6840184260849987,0.7881773399014779,0.7476635514018691,0.5113636363636364,302,96
valence_binary,random_oversampling_all_features,Linear SVM,0.6556291390728477,0.6466121495327103,0.6236760124610592,0.6694270801097563,0.8125,0.6682242990654206,0.625,302,96
valence_binary,random_oversampling_all_features,Random Forest,0.6920529801324503,0.618787170773152,0.6206798752076497,0.6893288158223434,0.776255707762557,0.794392523364486,0.4431818181818182,302,96
